"Name of tips","Number of mutations"
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19676_2132_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19680_5921_3",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19688_20336_4",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19690_8272_4",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19754_18196_6",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19806_3505_3",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19849_8489_5",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19926_17463_3",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20000_6340_4",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20130_21852_3",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20180_20722_9",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20223_11909_3",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20257_17746_4",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20407_16138_15",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20591_20004_13",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20647_6288_6",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20770_18302_3",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20839_6262_16",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20925_19900_7",18
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_20982_5800_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21076_9636_5",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21214_3261_19",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21244_15300_12",23
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21357_6573_7",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21362_16140_24",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21504_21686_8",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21621_4074_30",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21707_13615_3",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21728_2271_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21739_5385_7",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_2179_12545_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21790_13265_6",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21808_8950_17",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21821_8235_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21874_6876_5",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21880_5776_3",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21966_18502_11",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_21992_24439_11",13
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22026_14572_18",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22114_4897_19",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22259_9581_9",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22327_17911_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22349_11556_4",6
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22349_13275_13",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22351_18439_16",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22352_9546_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22467_15849_5",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22628_3397_28",15
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22702_17611_5",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22737_17506_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22843_15075_15",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22955_15955_3",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_22969_11952_4",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23108_15202_10",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23215_7154_10",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23240_18221_6",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23278_13294_4",8
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23291_19456_7",14
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_23297_17116_14",5
