"Name of tips","Number of mutations"
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_9867_9861_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2101_17851_17886_3",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2101_18383_16898_5",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2101_18746_18854_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2102_15428_10047_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2102_22128_17597_9",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2102_25336_13444_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2102_26062_13200_6",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2102_26506_15974_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2103_12874_10872_3",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2103_13013_16421_5",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2103_13853_12827_7",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2103_8081_6076_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_13280_10440_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_14024_15337_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_16195_14023_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_17682_17531_4",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_19727_16502_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2104_21958_9715_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_12674_15620_5",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_15994_7894_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_16358_17404_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_18061_3553_7",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_21273_3473_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_25875_16096_4",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2105_27429_14383_6",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2106_16063_17500_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2106_22439_18554_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_2106_22897_5718_2",3
