Name of tips,Number of mutations
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21710_13148_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21934_18793_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_22435_19314_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_23741_4468_2,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_23817_10806_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_25794_11809_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_28116_15483_10,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_3544_10876_4,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_4560_9266_3,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_4581_11609_3,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_6764_17994_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_6833_7055_8,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_6948_7897_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_6970_12370_2,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_6973_6378_4,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_7133_14689_6,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_7447_7736_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_7899_18233_8,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_8192_14980_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_8315_16466_3,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_9036_19326_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_9784_5394_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_10017_4902_5,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_10273_2535_2,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_11244_20159_5,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_11274_5178_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_11493_13098_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_12260_8402_3,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_13233_10036_5,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_13825_13918_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_13892_5006_3,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_13985_12054_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_14270_15242_5,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_14661_3791_5,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_14684_6601_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_15578_5483_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_16277_8953_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_16398_18104_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_19188_5655_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_19369_7873_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_19384_6602_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_20474_3182_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_20679_7543_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_21801_9424_2,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_23162_6927_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_23521_11264_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_24155_18866_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_24879_16589_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_25198_17960_7,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_25388_3392_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_27734_8229_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_28396_19033_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_4718_9259_3,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_4981_18353_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_5341_4221_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_5507_5277_5,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_6221_11821_2,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_9370_3251_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1107_9976_13203_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_10143_17605_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_10162_7890_2,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_10245_1285_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_11728_24685_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_11792_14668_3,9
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_12659_9573_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_13090_9764_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_14154_8456_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_14767_7974_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_15061_15207_2,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_15120_5095_2,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_16399_24198_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_16457_7624_3,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_17159_7285_4,9
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_17317_9153_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_20669_9140_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_21006_23244_3,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_21427_23715_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1108_24375_13330_4,5
