Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11288_8178_7,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11428_5122_4,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11479_10881_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11712_9970_7,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_12031_7589_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_12253_17012_6,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_12395_8022_3,22
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_12562_3552_3,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_12583_18302_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_13198_3487_3,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_13360_15716_3,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_13369_19718_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_13960_18414_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_14021_12523_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_14741_8851_7,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_16437_19721_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_16654_10812_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_16851_15147_3,20
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_17300_15128_5,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_17343_5130_7,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_17634_17123_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_17779_5423_8,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18060_17620_3,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18243_12007_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18280_6867_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18318_7635_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18588_11996_7,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18692_9748_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_18700_4503_7,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_19037_4473_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_19180_4105_8,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_19201_18551_8,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_19539_3605_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_19561_3270_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20114_15196_4,17
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20171_10042_6,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20191_5499_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20203_5734_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20217_14638_4,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_20435_3883_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_21532_14331_7,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_21570_7281_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_21924_12729_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_22059_12052_5,15
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_22430_9240_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_22588_11708_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_23830_15235_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_24034_7504_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_24486_15926_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_24619_11459_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_26006_9992_7,17
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_26135_17145_5,19
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_27641_13739_7,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_4269_15202_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_5506_15697_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_6679_6236_7,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_7097_4396_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_8704_18527_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_8825_7090_5,2
